timestamp,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
2025-12-05 06:00:00+02:00,13.48304,1314.33812,310.559605,68.6706,0.0,209.299097,8.65309,1950.3576,4.278403,3.055,364.951451
2025-12-05 07:00:00+02:00,13.315968,1427.91903,309.894795,68.7923,0.0,236.536848,9.61833,1950.3576,23.155203,3.042,413.212635
2025-12-05 08:00:00+02:00,13.626912,1688.10867,307.114825,68.2138,0.0,304.029158,275.15414,1951.452,277.365643,3.395,471.098192
2025-12-05 09:00:00+02:00,14.139472,1702.18327,308.667605,68.1904,0.0,304.7507,285.38282,1952.136,575.499217,2.601,463.496685
2025-12-05 10:00:00+02:00,13.858224,1629.4399,306.617545,66.7003,0.0,301.663137,140.0162,1950.9048,711.448015,3.115,473.694922
2025-12-05 11:00:00+02:00,13.802448,1578.2296,302.08553,68.2691,0.0,272.953632,86.75518,1951.9992,848.262174,3.154,464.733987
2025-12-05 12:00:00+02:00,13.652688,1595.31664,304.57329,68.3067,0.0,247.091753,8.71248,1951.452,878.233422,3.14,459.039447
2025-12-05 13:00:00+02:00,13.9268,1632.55296,303.989545,67.8756,0.0,245.202487,8.70258,1952.5464,728.025084,2.274,457.680385
2025-12-05 14:00:00+02:00,13.820928,1697.92904,304.61363,68.1194,0.0,260.862109,9.08274,1951.0416,476.455447,2.314,475.278952
2025-12-05 15:00:00+02:00,13.17968,1732.01819,304.62379,67.9951,0.0,277.50288,8.72236,1952.4096,303.623668,3.829,519.146367
2025-12-05 16:00:00+02:00,13.556416,1724.44756,304.86181,68.0419,0.0,298.963714,88.49459,1952.2728,355.098765,4.088,537.117005
2025-12-05 17:00:00+02:00,13.312704,1660.66702,305.94542,68.368,0.0,305.81194,268.65483,1952.5464,482.466431,4.227,539.965681
2025-12-05 18:00:00+02:00,13.191088,1652.74264,305.153455,68.8345,0.0,310.09368,588.75265,1953.6408,364.479043,4.213,542.767272
2025-12-05 19:00:00+02:00,13.963664,1601.59102,305.207565,67.7683,0.0,310.345784,590.91389,1954.188,95.956205,4.062,527.627895
2025-12-05 20:00:00+02:00,13.72856,1408.35194,304.77993,68.0806,0.0,306.823512,407.65299,1953.7776,26.71513,3.562,535.991197
2025-12-05 21:00:00+02:00,11.174224,1321.38915,300.71304,68.3166,0.0,238.672615,320.74682,1952.82,2.953328,3.009,508.246318
2025-12-05 22:00:00+02:00,11.736688,1317.90283,287.35934,68.0075,0.0,231.300936,228.29269,1953.0936,0.760567,2.689,481.50432
2025-12-05 23:00:00+02:00,11.73328,1328.04048,287.40724,68.091,0.0,231.773463,31.29655,1952.4096,0.25137,2.671,473.245601
2025-12-06 00:00:00+02:00,13.633136,1318.53777,287.49218,68.2397,0.0,241.330646,8.67109,1954.188,0.078101,2.815,530.263285
