created_doc_time,avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start
2026-04-07 18:52:57+03:00,0,BG,Planned maintenance,A03,,2026-04-07 18:00:00+03:00,TO78njnDb_6NuFJ6qbys7w,227.0,Hydro Pumped Storage,32W0011001000692,Sestrimo,PSHPP_CHAIRA_GEN,PSHPP_CHAIRA_GP3,1,MAW,PT1M,3,2025-12-17 00:00:00+02:00
2026-04-09 15:47:04+03:00,0,BG,Unplanned outage,A03,,2026-04-14 16:00:00+03:00,hxm2qE_y8IR179yLP7jfqA,227.0,Hydro Pumped Storage,32W0011001000692,Sestrimo,PSHPP_CHAIRA_GEN,PSHPP_CHAIRA_GP2,1,MAW,PT1M,1,2026-04-14 08:00:00+03:00
2026-04-16 15:17:04+03:00,0,BG,Unplanned outage,A03,,2026-04-16 15:00:00+03:00,cSt4dXqqy3q1P1mdWJxeNg,343.0,Fossil Brown coal/Lignite,32W001100100294W,locName,AES_MI1,TPP_GALABOVO_G2,1,MAW,PT1M,1,2026-04-16 13:16:00+03:00
2026-04-16 20:31:25+03:00,0,BG,Unplanned outage,A03,,2026-04-16 17:29:00+03:00,6iahLXQKtcLGXlISQzZrJw,343.0,Fossil Brown coal/Lignite,32W001100100294W,locName,AES_MI1,TPP_GALABOVO_G2,1,MAW,PT1M,2,2026-04-16 15:26:00+03:00
2026-04-16 20:47:18+03:00,0,BG,Unplanned outage,A03,,2026-04-16 18:26:00+03:00,LCUbRgXIxr36BsQ5HyOTvA,343.0,Fossil Brown coal/Lignite,32W001100100294W,locName,AES_MI1,TPP_GALABOVO_G2,1,MAW,PT1M,1,2026-04-16 17:33:00+03:00
2026-04-17 09:31:22+03:00,0,BG,Unplanned outage,A03,,2026-04-18 09:19:00+03:00,MvF9Z2PN3k1rA3xocWSxiQ,190.0,Fossil Brown coal/Lignite,32W001100100218B,Bobov dol,TEC_BOBOVDOL_EAD,TPP_BOBOV_DOL_G1,1,MAW,PT1M,2,2026-04-17 09:19:00+03:00
2026-04-18 10:53:21+03:00,0,BG,Planned maintenance,A03,,2026-04-18 21:00:00+03:00,oLMqjAJM5SbfeV3HlANNrQ,343.0,Fossil Brown coal/Lignite,32W001100100294W,locName,AES_MI1,TPP_GALABOVO_G1,1,MAW,PT1M,5,2026-03-30 05:00:00+03:00
2026-04-28 17:07:30+03:00,0,BG,Planned maintenance,A03,,2026-04-28 17:10:00+03:00,_kBiSGRKraDrMD8OM7gU2g,230.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G8,1,MAW,PT1M,3,2026-03-01 00:00:00+02:00
2026-04-30 21:22:57+03:00,0,BG,Planned maintenance,A03,,2026-05-10 23:59:00+03:00,sJzg52n2y68ZUzDALEY_gQ,230.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G5,1,MAW,PT1M,2,2026-04-29 09:15:00+03:00
2026-04-30 22:24:25+03:00,0,BG,Planned maintenance,A03,,2026-05-03 23:59:00+03:00,Gz14QKtj6bXAlNfdWZaurQ,230.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G6,1,MAW,PT1M,3,2026-03-30 00:29:00+03:00
